Tiktoker name,Subscribers,Views,Likes,Comments,Shares,Month
amxnahali,63200.0,1000000.0,178200.0,2300.0,1400.0,9
ana_eusse,13300000.0,3000000.0,392200.0,825.0,141.0,9
ana_eusse,11700000.0,2400000.0,343600.0,1000.0,166.0,6
analisseworld,10400000.0,1900000.0,358600.0,652.0,1300.0,9
analisseworld,10300000.0,2300000.0,418700.0,926.0,1000.0,6
anaraquelhz,4000000.0,1600000.0,185900.0,1400.0,6800.0,6
anardreams,15900000.0,3000000.0,131100.0,1900.0,376.0,9
anas_elshayib,3900000.0,3100000.0,182100.0,4600.0,1900.0,6
andcarli,11700000.0,6300000.0,212200.0,684.0,578.0,9
andcarli,8100000.0,7000000.0,236500.0,1300.0,589.0,6
andreluizframbach,1400000.0,3600000.0,216200.0,285.0,1300.0,9
andremastijan,786700.0,1200000.0,111500.0,876.0,6200.0,9
andremastijan,723700.0,5200000.0,360000.0,2700.0,12500.0,6
andresgjohnson,4099999.9999999995,1100000.0,186400.0,935.0,4500.0,9
andy.and.michelle,5000000.0,2600000.0,336300.0,1400.0,3400.0,9
andy.and.michelle,4400000.0,2800000.0,399900.0,1800.0,4600.0,6
andyarthursmith,2200000.0,3300000.0,564700.0,3300.0,2800.0,9
andyarthursmith,2200000.0,3300000.0,564700.0,3300.0,2800.0,9
angryreactions,26600000.0,1500000.0,257100.00000000003,1300.0,376.0,9
anitta,20000000.0,2400000.0,256800.0,945.0,380.0,6
anna..paull,5200000.0,2400000.0,424700.0,1300.0,375.0,9
anna..paull,4400000.0,3100000.0,731700.0,2100.0,474.0,6
annafontanela,3900000.0,2100000.0,313400.0,1200.0,292.0,9
annajobling,477000.0,4099999.9999999995,482700.0,4500.0,2000.0,6
annapep3,1000000.0,1700000.0,337100.0,1300.0,1500.0,9
annaxsitar,12000000.0,2600000.0,372800.0,417.0,442.0,9
annaxsitar,11900000.0,3100000.0,454200.0,741.0,424.0,6
anxietycouple,12200000.0,2400000.0,271000.0,893.0,526.0,9
anyaischuk,11800000.0,1900000.0,219300.0,877.0,692.0,9
apinyabunying,215600.0,1500000.0,204100.0,1200.0,1300.0,9
apollolikesblu,3000.0,702300.0,124500.0,9500.0,2100.0,6
arafat.buffon,1400000.0,4300000.0,246700.0,460.0,1500.0,9
