Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Month
clubgodzilla,195.2K,3.1M,618.6K,4.6K,1.7K,6
cocielo,4.6M,3.6M,438.2K,601,613,6
codsterss,58K,13M,951.6K,13.2K,136K,6
com.yamato0515,1.8M,2.3M,213.7K,2.8K,1.5K,6
com.yamato0515,1.8M,2.3M,213.7K,2.8K,1.5K,6
com.yuta0305,1.2M,2.2M,226.7K,2.4K,1.9K,6
com.yuta0305,1.2M,2.2M,226.7K,2.4K,1.9K,6
conangray,5.7M,1.4M,363.2K,3.7K,1.8K,6
coopernoriega,2.9M,4.2M,287K,2.5K,1.6K,6
creationsross,2.4M,3.2M,402.1K,1.2K,4.3K,6
creative_explained,4.5M,1.9M,184.9K,836,7.8K,6
criminalksa,1.1M,3M,223.6K,1.2K,859,6
cris_soto.09,361.4K,2.3M,126.5K,340,5.2K,6
crisp.ink,620.6K,2.2M,536.9K,4.1K,10.6K,6
cristobalsoria,701K,3M,392.8K,6.6K,14.5K,6
cuongkido,1.5M,3.6M,221.9K,869,704,6
cvillaloboss,13M,6M,500.6K,2.9K,927,6
cznburak,59.5M,4.3M,288.9K,1.6K,927,6
daffaxml,864.5K,1.9M,190.3K,2.8K,1.3K,6
dafnnejm,2.1M,1.6M,354.7K,688,761,6
dal9_5,102.6K,1.8M,204.2K,4.3K,10.9K,6
daniel.labelle,26.2M,5.5M,777K,2.6K,3.4K,6
danivallem,4.5M,1.4M,108.4K,764,16.1K,6
dannapaola,16.3M,4.5M,554.1K,1.6K,778,6
danphto,448K,2.3M,206.9K,2K,382,6
danythegaggio,3M,2.2M,300.2K,2.5K,12.1K,6
daotthungan,1M,3.1M,229.7K,985,301,6
daraarafah24,786.4K,3.3M,429.8K,5.8K,2.7K,6
darianrojasc,30.4M,8.1M,1M,3.9K,1.2K,6
dasigantung,5.6M,2.7M,426.2K,1.2K,918,6
datdo0803,6.9M,5.8M,592.4K,2.2K,696,6
datvilla94,7.1M,4.5M,490.8K,8.3K,4.6K,6
daveardito,8.8M,3.9M,330.6K,2.6K,1K,6
daviddobrik,26M,5M,854.6K,2.1K,2.6K,6
davidgalvanv,4.8M,2.1M,291.8K,2K,548,6
davidsiwonchoi,2.5M,1.9M,309.7K,2.2K,1.8K,6
davidyrodriguez,8M,1.4M,256.6K,1K,1.7K,6
deborahyowa,14.5M,6.9M,351.4K,6.5K,2.7K,6
deiveleonardooficial,5.8M,1.8M,194.8K,1.9K,39.7K,6
delaneysayshello,1M,1.3M,224.6K,1.3K,2.9K,6
dennnyn,3.4M,1.1M,148K,959,6.7K,6
deon.k.washington,112.8K,717.2K,125.3K,1.4K,7.7K,6
dereklipp_,4.9M,2.5M,348.2K,1K,4.4K,6
devincaherly,7.9M,2.7M,279K,1K,119,6
devon_palmer,1.9M,2.1M,432.5K,1K,1.7K,6
dexter.the.tabby,159.2K,4.7M,1M,12.4K,13.1K,6
dhanihehee,1.4M,1.8M,138.3K,4.3K,661,6
diefebri19,686.7K,1.7M,227.2K,1.8K,293,6
diegodiego_,7.8M,3.3M,496.8K,2.5K,2.1K,6
diiegospyckerzs,808.5K,2.8M,154.5K,3K,11.8K,6
dilanjaniyar,1.7M,2.2M,283.9K,1.6K,1.1K,6
dilanjaniyar_2,2.5M,2.2M,262.7K,1.6K,1.3K,6
dilaraaduman,2.2M,4.7M,338.3K,1.5K,1K,6
dissectpodcast,471.6K,1.3M,252.5K,1.4K,5.3K,6
ditanganu,5.9M,3.6M,416.1K,2.4K,768,6
dj_hyo,1.6M,3.2M,606.7K,5.6K,3.2K,6
djsnake,2.3M,2.2M,247.8K,1.9K,1.5K,6
dmcomics,493.4K,1.7M,169.1K,2.2K,10.1K,6
domelipa,54.2M,8.6M,1.5M,14.3K,4.1K,6
dontstopmeowing,11M,1.8M,224.4K,1.1K,1.7K,6
dorychang_03,3.8M,3.9M,341.5K,1.5K,943,6
dovecameron,11.6M,2.8M,538.8K,1.5K,492,6
drewafualo,7.4M,2.7M,568.2K,3.7K,1.4K,6
drisantosbr,3M,1.5M,197K,1.7K,2.4K,6
droop314,465.9K,997.2K,70.2K,1.3K,13.1K,6
druskitv,3.5M,2.8M,519.5K,3K,9.4K,6
dualipaofficial,8.4M,3.1M,178.7K,1.6K,2K,6
dudamaryah,5.2M,2.2M,367.7K,1.4K,1.3K,6
dudamaryah,5.2M,2.2M,367.7K,1.4K,1.3K,6
duncanyounot,4.3M,720.5K,246.4K,2.9K,1.9K,6
dunkmvp,3.3M,4.6M,698.7K,1.3K,2.2K,6
dxbxd,2.4M,1.8M,219.1K,2.2K,1.5K,6
dylanmulvaney,5.4M,3.1M,700K,7.3K,1.8K,6
dylanpage.ning,2.8M,2.2M,344.3K,5.2K,2.6K,6
earlthejackass,84.5K,2.9M,359.2K,3.8K,14.1K,6
editnessbarrett,157.3K,1.5M,275.7K,1.8K,845,6
edpeople,1.4M,1.8M,278.1K,1.8K,1.5K,6
edsheeran,11.4M,1.8M,166.9K,2K,672,6
eduardbaka,1.5M,1.4M,233.6K,1.9K,978,6
