Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Month
darianrojasc,30.7M,3.3M,542.4K,2.4K,440,9
nicolassturniolo,3.3M,2.5M,412.1K,4.4K,582,9
ricardogaeta_,737.8K,2.1M,232K,4.9K,5.3K,9
giovannibonaccinii_,858.3K,2.2M,317.6K,3K,4.1K,9
girlsgeneration.official,783.5K,2.7M,355.2K,2.9K,2.4K,9
eupereiraoficial,7.8M,3.6M,395.7K,1.3K,2.1K,9
sabrinacarpenter,12.6M,3.2M,346.5K,3.3K,1.2K,9
leymarbrown,633.9K,2M,251.5K,2.6K,7.1K,9
ferxxo444,3.5M,3.1M,381.7K,1.5K,2.6K,9
itsqcp,10.8M,3.9M,529.1K,1.4K,948,9
tooturnttony,17.7M,3.7M,355.5K,2.6K,1.1K,9
theodortytb,1.5M,2.6M,563.3K,2.5K,773,9
drewafualo,7.7M,2M,322.1K,6.5K,977,9
xoang_xa,917.6K,2.1M,475K,2.9K,1.8K,9
runabyte,949.4K,2.1M,573.2K,1.8K,2.2K,9
notshanebennett,2.6M,2.6M,589.4K,1.2K,1.9K,9
shadisrour,2.2M,3.2M,196.4K,2.3K,5.2K,9
ninonrambaud,123.5K,4.1M,441.5K,1.5K,1.1K,9
kyleechoi,19.8K,1.8M,483.5K,3K,2.3K,9
eljuandiduque,6.2M,1.8M,171.3K,1.5K,13.4K,9
minami.0819,1.6M,2M,187.1K,9.7K,2.4K,9
raredoodle,1.8M,3.2M,370.1K,2.4K,1.5K,9
benyaparimm,519.3K,3.6M,186.1K,1.5K,5.2K,9
thehypehouse,21.1M,3.2M,441.7K,2.7K,523,9
livvy,5.9M,3.1M,397.9K,2.3K,1.4K,9
choega,5.5M,2.1M,348.2K,4.1K,2K,9
cerenyaldz,9.4M,4.4M,184.1K,4.8K,712,9
miichaelltran,6.5M,2.5M,442.7K,2.3K,1.8K,9
dunkmvp,3.5M,3.5M,405.7K,1.4K,1.8K,9
jimena.jimenezr,24.2M,3.3M,521.1K,959,1.6K,9
tangozilla,280K,2.2M,467.5K,1.3K,3K,9
melfouad,1.3M,2.4M,209.4K,2.1K,6.6K,9
t22felton,10.1M,2.8M,303.5K,3.1K,2K,9
bu_kre_sabi,472.4K,5.1M,255.2K,659,2.6K,9
lucasvarelaaaa,2.9M,2M,282K,810,6.7K,9
mndiaye_97,15.1M,2.2M,443.7K,2.5K,1.9K,9
jessechrisss,3.5M,8.9M,471K,775,223,9
n.vv3,4M,2.9M,149.6K,2.3K,7.4K,9
