Tiktoker name,Subscribers,Views,Likes,Comments,Shares avg.,Month
thallyssonsb,21M,1.8M,301.6K,1.9K,492,12
the.sign.guy,20.5M,2.4M,395.6K,2.8K,725,11
thebenjishow,11.6M,1.7M,242.6K,499,554,12
thebentist,6.2M,1.4M,217.1K,610,947,12
thebentist,5.8M,1.6M,268.5K,609,1K,11
thebrandonrobert,4.4M,2.5M,319.6K,1.3K,1.2K,12
thecordlefamily,7.9M,1.5M,207.2K,1.5K,735,11
thecoreyb,296.6K,1.6M,181.5K,476,8.3K,12
thehealchef,3.2M,992.3K,115.2K,3.1K,1.3K,12
thehypehouse,9.2M,1.8M,211K,653,1.1K,11
thejoeyswoll,9.8M,5.6M,648.9K,1.6K,554,12
thekidke_,9.4M,1.5M,191.9K,1.9K,553,11
thekidke_,6.9M,2.4M,354K,663,1.6K,12
thelondoncharles,6.4M,3M,453K,689,1.6K,11
themolyajan,2.9M,6.7M,1.1M,6.2K,3.6K,11
theonlycb3,15.2M,4.3M,275.3K,1.8K,2.2K,12
theovon,12M,2.2M,241.5K,517,641,11
therealhammytv,3.2M,1.5M,288.7K,1.2K,320,12
therock,3M,1.7M,390.3K,3.2K,606,11
thewick,292.2K,1.7M,178.9K,4.6K,3.2K,11
thezachchoi,3.3M,1.6M,196.7K,314,884,11
thiagomelob_,4.5M,1.3M,40.8K,519,11.9K,12
thongsoaicavip,1.6M,1.4M,72.2K,327,5.9K,12
thoriqhal,2.3M,3.8M,149.1K,2.4K,518,12
tifannylm,5.1M,989.5K,208.6K,2.1K,1.8K,11
tiger050794,7.8M,2.9M,369.7K,627,1.3K,11
tiktokmena,25.7M,1.9M,248K,778,403,11
timmy2cans,1.1M,3.7M,464.6K,3.9K,4.7K,12
tina_042,785.3K,1.7M,178.8K,2.9K,3.5K,11
tirullipa,13.9M,1.6M,297.3K,795,385,11
tommyinnit,1.6M,2.4M,290.4K,1.1K,3.5K,12
tonylopez,3.6M,2M,325.6K,1.6K,2.2K,12
tonystatovci,19.7M,8.1M,2M,5.2K,5.2K,12
tooturnttony,19.1M,9.2M,2.2M,11.1K,9.3K,11
traviesotiktok,13.3M,1.8M,240.8K,399,691,11
trevorwallace,6.4M,2.8M,486.9K,1.1K,1.1K,12
tritanttv,6.1M,2.6M,380.2K,1.2K,1.2K,11
tuckerbudzyn,8.1M,1.7M,251.1K,434,719,11
tuckercomedy,2.4M,1.2M,268.7K,864,876,11
tuckot,3.2M,1.7M,227K,759,330,11
twice_tiktok_official,701.5K,2.4M,254.6K,671,1.3K,12
twistedpennywise,18.9M,1.5M,214.9K,1.1K,259,12
txt.bighitent,18.9M,2.4M,561K,1K,186,11
u.ueung,13.5M,3M,377.1K,2.4K,1.6K,12
ufc,11.4M,2.8M,322.7K,772,574,12
ufozero2,10.9M,2.1M,199.1K,833,495,11
ugolord,13.5M,2M,259.1K,367,581,12
ugolord,4.2M,4.8M,634.8K,2K,547,12
ujoaozinho,3.7M,2.4M,340K,623,355,11
unkabogableviceganda,6.8M,2.3M,266.6K,1.2K,707,11
unlabeled_,8.4M,3.7M,351.9K,2.2K,1.6K,12
unnecessaryinventions,8.1M,1.8M,208.5K,616,508,11
upinipin.official,15.2M,924.9K,73K,14.3K,87,12
ustazebitlew,14.3M,835.1K,62.8K,12.2K,83,11
vadik_dikiy,3.1M,1.3M,260.6K,939,2.6K,11
valenrewah,43.5K,1.9M,76.1K,1.6K,9K,12
vanbanger,36K,1.3M,181.5K,1.1K,1.1K,11
vanessalopesr,52.3M,5.2M,550.4K,639,469,11
venomlive85,9.2M,2.7M,171.8K,1.8K,847,12
vhackerr,9.9M,2.7M,517.8K,2.8K,2.7K,12
vibin.wit.tay,8.7M,6M,1M,2.2K,1.5K,11
victormelo,14.7M,2.3M,607.1K,7K,3.7K,11
vidhia_r,2M,996.7K,200.8K,880,2.3K,12
vietphuongthoa98,14M,4.3M,616.5K,954,1.4K,12
vilmeijuga,13.8M,4.3M,667.3K,1.1K,1.1K,11
virginiafonseca,5M,3.3M,159.9K,1.5K,4K,12
viviindrawatyy,12.4M,3.2M,435.9K,1.1K,786,12
waguinhov,2.3M,843.8K,240.4K,1.3K,531,11
wigofellas,47.6M,3.6M,715.5K,3.8K,2.1K,12
willdevane,47.1M,2.4M,292.3K,2.6K,1.3K,11
williamlast_krm,11.7M,1.9M,362.8K,2.8K,415,12
williesalim,3.2M,4.6M,685.4K,2K,6.3K,12
winnermaxyt,5.2M,1.7M,96.7K,1.3K,1.2K,12
wissensbert,512.1K,1.5M,202.7K,2.3K,619,12
wren.eleanor,17.1M,2.7M,249.9K,978,503,12
wuesilva,1.8M,18.7M,914.1K,2.7K,5.7K,12
www.luluca,16.7M,2.7M,329K,360,1.1K,12
xibibrothers,16.3M,3.5M,335.6K,484,724,11
xxlechuga,2.1M,1.4M,121K,3.7K,2.4K,12
yano4kaa.aaa,1.9M,1.4M,190K,2.2K,1.2K,12
yaraandomarr,414.8K,953.6K,75.4K,2.5K,3.3K,12
yasincengiz38,24.8M,2M,196.4K,3.1K,2K,12
yass_ootd,24.5M,2.9M,283.5K,3.2K,2.2K,11
yazidzohri,42.4M,23.7M,3.4M,21.7K,25.7K,12
ybsbrodie,26.2M,1.5M,223.2K,913,298,12
yerimuaa,26.2M,2.6M,243.1K,1.1K,499,11
yogabukanhyuga,3.4M,1.5M,253.7K,1.2K,139,12
yosoyapple,3.1M,2.6M,392.4K,1.2K,161,11
yossikramer,1.9M,3.3M,375.7K,1.4K,1K,12
youngswagonoriginal,15.1M,4.8M,552.9K,571,872,12
yourmommadontdance,14.8M,2.7M,340.6K,385,142,11
yucholoco,7M,2.3M,330.6K,967,863,12
yurielkysojeda,6.9M,1.8M,207.5K,716,188,11
z4_pucho,2.8M,1.9M,255.5K,11.4K,1.4K,12
zachjustice,9.4M,3M,339.4K,736,456,11
zachking,8M,2.1M,254.1K,876,155,12
zackbarbour,8M,2.1M,254.1K,876,155,11
zainah.mb,9.7M,1.9M,297.7K,1.8K,155,12
zdotss,9.3M,3.4M,429.6K,3K,249,11
zeinabharake,1.8M,3.2M,342.3K,762,2.9K,11
zeinazeee,1.2M,2.5M,372.9K,1.2K,1K,11
zeth,31.8M,3.3M,306.2K,1K,322,12
zodiac.boyfriend,31.2M,3.3M,350.1K,1.2K,313,11
,4.1M,2.2M,320.5K,1.9K,1.5K,12
,4M,1.3M,259K,1.1K,744,11
,5.6M,1.4M,250.3K,502,764,12
,5.4M,2.4M,521.4K,832,813,11
,602.1K,6M,161.7K,534,1.1K,12
,7M,1.8M,313.9K,2.2K,2.6K,12
,16.6M,3.2M,515K,3.3K,2K,12
,16M,1.7M,319.5K,2.3K,1K,11
,1.3M,1.3M,263.9K,1.9K,2.1K,12
,10.5M,3.1M,515.7K,3.1K,5.7K,12
,10.4M,1.7M,344.5K,1.5K,3.6K,11
,9.1M,2.6M,169.6K,758,3.6K,12
,8.9M,1.6M,166.3K,1K,3.4K,11
,5.3M,1.7M,274.1K,558,7.7K,12
,3.9M,1.4M,166.5K,2.6K,2.6K,11
,3.6M,1.5M,284.6K,1.3K,1.1K,11
,153.1M,10.6M,1.2M,20.8K,2.3K,12
,152M,15M,1.8M,6.5K,3.2K,11
,2.3M,1.9M,182.7K,1.4K,1.7K,12
,2.3M,5.9M,708.8K,2.2K,1.2K,12
,33.3M,1.7M,187.6K,1.2K,384,12
,32.8M,2.2M,208.5K,846,514,11
,1.8M,762.3K,96.7K,724,5.1K,11
,1.8M,3.5M,177.8K,626,638,11
,70.2M,7.7M,883.3K,8.8K,3.9K,12
,69.3M,7.7M,868K,6.2K,1.9K,11
,5M,1.7M,144.3K,1.2K,936,11
,27.7M,2.1M,316.5K,673,1.9K,12
,916.7K,1.7M,180.8K,481,2.2K,12
,8.4M,2.8M,110.9K,488,885,12
,6.2M,1.7M,328.1K,1.5K,468,11
,4M,1.2M,149.4K,2.1K,3.4K,11
,1.4M,972.1K,198.5K,999,1.4K,12
,293.1K,1.4M,277.1K,3.1K,1.4K,12
,3.5M,1.6M,237.7K,2.2K,1.5K,11
,3.2M,3.9M,310.5K,582,342,11
,7.8M,2M,203.7K,528,864,12
,90K,1.1M,194.5K,339,4.7K,12
,6.3M,1.9M,114.8K,362,1.7K,12
,4.8M,11.4M,888.1K,3K,1.2K,12
,4.8M,2.7M,622.2K,1.7K,533,11
,4.5M,2.2M,299.6K,281,8.6K,12
,4.2M,2.2M,249.5K,340,2.1K,11
,123K,2.3M,207K,4.6K,20.8K,12
,8.5M,2.6M,258K,1.1K,499,12
,2M,1.9M,689.7K,7K,3.9K,11
,50.4M,7.5M,793.1K,2.8K,1.6K,12
,49.1M,14.5M,2.5M,5.5K,3.4K,11
,1.4M,1.2M,145.4K,819,2K,11
,7.7M,1.2M,214K,1.2K,122,11
,561.3K,1.1M,142.6K,886,2K,12
,13.4M,3M,567.4K,2.1K,2.2K,12
,1.4M,1M,177.7K,1.1K,1.4K,11
,669.4K,750.3K,118.3K,655,3K,11
,10.1M,3.6M,500.6K,1.3K,436,11
,1.1M,2.3M,425.2K,2.5K,4.2K,11
,9.2M,1.2M,144.7K,1.3K,899,12
,9.2M,1.2M,144.7K,1.3K,899,11
,1.6M,1.1M,161.2K,1.1K,1.5K,12
,14.2M,2.1M,324.6K,718,237,12
,13.2M,5.2M,744.8K,1.4K,627,11
,2.6M,1.2M,146K,843,2K,11
,1.5M,2.4M,207.2K,1.5K,264,12
,6.2M,2M,138K,2.1K,2.5K,12
,6M,2.2M,174.2K,2.8K,1.9K,11
,22.7M,4.2M,420K,1.8K,4.3K,12
,22.6M,4.4M,398.9K,1.3K,5.5K,11
,1.3M,1.1M,180.1K,1.6K,455,11
,4.4M,2.4M,365.2K,1.2K,438,12
,4.3M,3.2M,397.8K,1.4K,368,11
,308.7K,2.3M,183.3K,563,262,11
,17.6M,1.8M,207.7K,1.2K,663,11
,4.2M,3.6M,418.7K,2.4K,1.4K,12
,3.8M,2.2M,424.7K,1.9K,886,11
,2.1M,3M,305.6K,1.1K,1.9K,11
,951.2K,991.4K,218.1K,1.4K,527,11
,5.5M,1.3M,130.7K,330,3.1K,12
,7.8M,1.9M,315.3K,1.4K,417,12
,7.8M,1.7M,314.1K,1K,738,11
,1.8M,1.7M,318.7K,1.3K,4.4K,11
,6.3M,1.7M,167.6K,785,737,12
,13.6M,1.9M,376.1K,452,1.9K,11
,11.6M,1.8M,270.6K,587,724,12
,11.3M,1.7M,241.3K,700,410,11
,6.2M,1.5M,223.3K,1.2K,537,11
,691.6K,1.7M,277.2K,1.9K,4K,11
,4.1M,7.5M,513.3K,4.4K,1.3K,12
,1.2M,3.9M,151.3K,1.9K,1.5K,12
,1.1M,2.5M,127.6K,856,459,11
,4M,2.4M,150.4K,2K,1.7K,11
,17.6M,2M,143.3K,952,472,12
,8.5M,581.6K,99.5K,2.8K,6.2K,12
,8.3M,534.7K,55K,5.7K,7.3K,11
,3.6M,1.5M,175.6K,1.6K,7.5K,12
,2.7M,1.8M,424.3K,3.3K,777,12
,2.6M,1.1M,236.9K,1.7K,472,11
,28.6M,4.4M,639.5K,1.2K,1.1K,11
,355.1K,2.4M,157K,1.3K,835,11
,1.7M,1.2M,121.7K,2K,9.8K,12
,3.3M,1.5M,175.7K,4K,597,12
,3.1M,2M,223.1K,1.6K,461,11
,376.8K,2.1M,391.3K,571,313,11
,4.2M,1.7M,199.3K,1.1K,1.5K,12
,4M,2.8M,311.1K,2.3K,8.9K,11
,768.6K,5.8M,329.1K,700,176,12
,24.8M,11.3M,1.5M,5.6K,2.4K,12
,24.4M,6.3M,993.4K,4.5K,1.6K,11
,9.6M,1.7M,230.6K,399,717,12
,3.3M,1.6M,263.7K,1.1K,418,11
,17.4M,2.5M,417.8K,1.3K,2.4K,11
,3.6M,1.6M,273.1K,562,1.6K,12
,1.5M,1.5M,136.6K,697,1.3K,12
,20M,4M,455.1K,1K,350,12
,20M,3.9M,631.8K,1K,308,11
,3.5M,1.3M,135.3K,1.5K,1.4K,11
,7.7M,1.1M,215.6K,1.2K,551,11
,7.7M,1.1M,215.6K,1.2K,551,11
,4.5M,2.3M,201.1K,565,452,12
,5.6M,4.2M,602.9K,1.8K,3.3K,12
,5M,4.8M,920.9K,2.9K,6.4K,11
,1.6M,1.4M,211.1K,1.3K,420,11
,29.1M,2.6M,371.1K,2.2K,1.5K,12
,28.8M,2.8M,432.1K,1.6K,1.8K,11
,4.4M,2.7M,306.7K,3K,1.5K,11
,13.6M,1.8M,308.4K,582,711,12
,13M,2.1M,356.7K,609,371,11
,4.6M,3.7M,311.7K,1.8K,1.4K,12
,5.9M,2.6M,294.9K,2.9K,1.6K,12
,1.4M,1.5M,231.9K,614,978,12
,2M,2.3M,217.3K,847,3.4K,12
,1.6M,2.1M,160.7K,596,3.4K,11
,6.5M,4.9M,550.8K,4.6K,2.1K,12
,6.2M,2.5M,312.3K,2K,1.1K,11
,30.3M,1.6M,357.8K,783,733,12
,30.3M,2.3M,337.1K,1.3K,801,11
,18M,2.4M,337.7K,937,889,11
,2.1M,3.6M,238.8K,5.6K,1.6K,11
,1.2M,1.4M,260.1K,1.5K,1.7K,11
,2.8M,2M,195.2K,1.4K,2.6K,12
,2.7M,1.6M,243.3K,1.1K,2K,11
,427K,4.6M,1M,5.8K,15.4K,11
,806K,4.3M,249.1K,560,270,12
,4.9M,1.6M,195.7K,947,1.1K,12
,4.5M,2.1M,240.4K,1.5K,1.4K,11
,6.2M,2M,245.3K,2.7K,248,12
,5.2M,2.3M,235.4K,1.5K,3.4K,12
,4.9M,2.8M,324K,1.3K,4.5K,11
,5.3M,2.3M,120.9K,692,772,12
,6.8M,1.9M,163K,396,2K,11
,1.6M,1.8M,261K,637,3.7K,12
,2.7M,1.1M,190.1K,1.3K,1.1K,11
,10.6M,3.9M,672.9K,5.3K,5K,11
,2.5M,1.7M,155.9K,825,760,11
,62.2K,2.2M,229.2K,1.2K,2.1K,12
,3M,3M,291.6K,968,188,11
,2.7M,1.5M,198.9K,993,2.1K,11
,3M,1.6M,264K,436,3K,11
,593.3K,1.4M,211.2K,1.5K,3.6K,12
,12.7M,7M,555.6K,648,1.4K,12
,2M,2M,422K,3.4K,1.3K,12
,1.8M,3.8M,384.3K,3.6K,1.4K,11
,22.1M,14.4M,1.1M,4.4K,1.9K,12
,20.6M,8.5M,1M,3.7K,2.4K,11
,2.5M,4.3M,558.1K,1.9K,1.2K,12
,2.2M,2.1M,286.6K,1.2K,2.7K,11
,769.9K,1.5M,125.4K,1.3K,507,11
,12.2M,2.2M,160.3K,432,3K,11
,22.4M,4.4M,694.3K,700,369,12
,22.3M,2.6M,210.6K,570,248,11
,159.5K,1.6M,135.6K,1.3K,798,11
,3M,2.2M,316K,388,162,11
,3.3M,3.2M,574.8K,976,463,12
,3M,2.5M,454.1K,933,468,11
,18.1M,2.9M,492.3K,2.9K,2.3K,11
,3M,3.1M,71.5K,4.2K,2.1K,11
,6M,1.6M,300.3K,898,344,11
,187.7K,1.9M,127.7K,499,2.6K,11
,2M,3.2M,409K,5.1K,31.3K,11
,8.8M,2.7M,485.7K,700,301,12
,8.8M,5.4M,807.1K,1.2K,1.3K,11
,244K,3.4M,336K,455,373,11
,860.3K,4.3M,812.8K,556,2.8K,12
,5M,1.8M,179.2K,1.6K,552,11
,3.7M,1.2M,214.2K,3.3K,775,12
,3.4M,1.1M,192.6K,3.6K,1K,11
,14M,3.3M,243.8K,1.1K,880,12
,12.3M,2.7M,178.8K,787,709,11
,1.7M,1.2M,162.9K,5.8K,622,12
,1.5M,1.3M,169.4K,575,1.1K,11
,1.8M,1.1M,126.8K,1.5K,9.6K,12
,5.3M,840.7K,198.2K,1K,1.1K,11
,1.6M,2.1M,250.4K,1.1K,5.2K,12
,1.5M,1.9M,236.5K,892,6.1K,11
,5.3M,2.1M,170.1K,2.5K,1.1K,12
,5.1M,1.9M,194.2K,2.1K,714,11
,1.3M,1.8M,218K,2.1K,2K,12
,303.1K,1.5M,374.5K,3.3K,1.7K,12
,4.1M,2M,151.6K,1.5K,247,12
,4M,2.2M,179.4K,2.1K,310,11
,2.3M,1.3M,218.7K,784,2.1K,12
,3.8M,4.5M,414K,636,2.2K,12
,2.8M,3.3M,449.8K,709,1.9K,11
,5.4M,3.7M,144.5K,1.2K,1.3K,12
,2.3M,731.2K,169.9K,2.6K,9.9K,12
,2.2M,483.2K,108.4K,3K,6.1K,11
,1.5M,2.4M,411.2K,3K,7.3K,12
,1.5M,2.5M,428.3K,6.7K,11.2K,11
,11.2M,2.3M,275.3K,3.4K,4.6K,12
,2.8M,8.7M,1M,2.3K,727,11
,12M,4M,305.7K,1.4K,1.4K,12
,712.3K,2.1M,343.7K,754,239,12
,3.8M,1.4M,371.8K,1.5K,814,11
,2.5M,2.9M,222.9K,2.6K,969,11
,704.2K,1.6M,78.7K,939,7.7K,11
,7.2M,1.8M,254.6K,1.2K,343,12
,6.7M,3.4M,450.1K,2.9K,728,11
,680.4K,1.2M,68.9K,855,11.2K,11
,7.6M,1.4M,172K,1.2K,2.8K,12
,7.2M,2.2M,257.2K,2.5K,4.5K,11
,11.2M,3.7M,236.2K,5.8K,523,12
,8.7M,2.9M,260.1K,600,383,12
,4.7M,3M,382.9K,520,1.1K,11
,2.9M,1.2M,163.8K,3.4K,3.6K,12
,6.1M,8.5M,1.6M,5.6K,16.1K,12
,3.9M,4.7M,700.8K,3.2K,7.3K,11
,3.9M,4.7M,700.8K,3.2K,7.3K,11
,2.7M,15M,151.3K,656,213,12
,2.8M,1.4M,223.1K,1.2K,5.4K,11
,3.6M,1.5M,235.9K,2.6K,893,11
,2.5M,849.5K,58.7K,278,9K,12
,2.8M,1.1M,216.6K,1.3K,1.1K,11
,9.4M,3.2M,440.8K,2K,1.6K,12
,5.3M,1.2M,178.7K,504,1.5K,12
,155.2K,1.4M,100.9K,1.1K,2.8K,11
,11.3M,2.6M,214.9K,1.6K,1K,11
,549K,1.6M,113.8K,2.5K,2.8K,11
,6M,6.7M,1M,2.2K,1.2K,12
,5.4M,6.8M,1.2M,3.7K,1.7K,11
,3.9M,2.2M,175.5K,713,336,12
,11.3M,4.9M,834.2K,2.7K,1.2K,12
,11.1M,2.6M,388.3K,1.2K,382,11
,3.2M,2.4M,125.9K,1.6K,6.2K,12
,16.1M,3.8M,272.3K,1.2K,477,12
,13.6M,6.1M,905.1K,1.7K,936,11
,1.5M,1.3M,176.8K,1.1K,768,12
,1.7M,1.3M,88.7K,1.9K,3.8K,12
,1.5M,1.9M,126.7K,1.8K,6.4K,11
,14M,4.8M,476.6K,1.2K,1.1K,12
,12.6M,1.7M,196.9K,635,429,11
,486.9K,3.2M,550.7K,947,1.7K,12
,1.5M,4.2M,864.8K,6.8K,3.2K,12
,11.7M,2.3M,131.1K,407,1.7K,12
,11.5M,1.7M,239.9K,1.1K,916,11
,36.6M,3.9M,227.2K,4.9K,1.4K,12
,36M,2.3M,145.3K,892,315,11
,334.5K,1.5M,314.8K,407,690,11
,7.8M,1.5M,210.2K,1.5K,171,12
,7.7M,4M,415.4K,2.4K,568,11
,17M,3.1M,339.9K,2.6K,1.8K,12
,16.7M,2.8M,278.9K,1.3K,653,11
,2.7M,1.9M,156.4K,953,4.6K,12
,2.4M,2.4M,183.3K,1.2K,5.4K,11
,2.1M,3.2M,131.5K,517,3.7K,12
,5.8M,2.2M,234.3K,714,463,11
,150.3K,1.3M,124.5K,2K,3.8K,11
,2.2M,1.5M,207.4K,1.5K,730,12
,5.8M,6.1M,415.6K,10.3K,3.3K,12
,5.4M,7.6M,559.2K,18.4K,12.5K,11
,13.8M,2.4M,278.3K,1.9K,498,12
,6.4M,11.6M,920.7K,3.6K,944,12
,5.9M,3.8M,367.7K,2.4K,446,11
,6.2M,2.2M,381.7K,519,396,12
,112.1K,4.8M,270.4K,1.6K,6.4K,12
,466.7K,3.1M,444.3K,646,282,12
,16.6M,1.9M,273.3K,731,166,12
,16.5M,1.8M,290.3K,615,274,11
,497.5K,2.3M,211.4K,1.8K,2.9K,11
,1.8M,1.2M,161.9K,8.8K,1.6K,12
,1.8M,1.3M,160.9K,8.5K,1.7K,11
,5.7M,1.6M,230.3K,1.4K,155,12
,860.7K,1.6M,93.2K,454,4.1K,12
,4.5M,21.5M,2.4M,16.3K,24.5K,12
,10.2M,2.6M,389.5K,620,827,11
,9.7M,2.5M,186.5K,1.5K,1.4K,12
,5.4M,915.9K,161.7K,1K,1.5K,11
,16.4M,1.2M,157.6K,1K,1.1K,12
,1.8M,2.3M,284.2K,548,521,11
,24.1M,10.6M,1M,2.4K,2.1K,12
,23.2M,2.1M,278.8K,791,342,11
,15.6M,1.3M,236.4K,1K,1.1K,12
,15.4M,2.7M,458.5K,2.1K,1.6K,11
,4.7M,1.4M,143.8K,1.3K,801,12
,4.5M,1.6M,178.3K,2.2K,1.2K,11
,1.4M,2.7M,41.7K,953,3.1K,12
,2.1M,5.4M,383.5K,10.5K,22.7K,12
,566.1K,2.3M,132.4K,4.5K,8.5K,11
,1.2M,1.9M,115.9K,1.7K,10.8K,12
,2.4M,5M,593.6K,1.8K,1K,11
,1.4M,1.2M,188.9K,5.2K,904,11
,36.9M,7M,1.2M,2K,1K,12
,36.4M,3.2M,449.9K,1.2K,520,11
,14.3M,1.8M,132.1K,1.2K,717,12
,14.2M,2.8M,154.6K,990,1.3K,11
,1M,3M,388.1K,1.2K,2K,12
,643.4K,1.1M,143.2K,621,1.6K,11
,5.8M,2.7M,523K,612,385,12
,5.5M,2.4M,389.6K,744,1.4K,12
,6.2M,3.5M,328.5K,773,709,11
,9.5M,4.8M,772.6K,5.8K,6.9K,12
,8.9M,6.1M,764.3K,3.3K,6.6K,11
,69K,2.1M,281.4K,4K,1.1K,12
,5M,3M,270.8K,431,202,11
,60.3M,29.2M,3.5M,30.8K,7.2K,12
,55.6M,38.1M,3.8M,19K,7.8K,11
,7.1M,1M,294.1K,1.5K,7.4K,12
,7M,1M,236.3K,903,2.8K,11
,7.3M,4.6M,676.6K,3.1K,6.8K,12
,6.4M,2.7M,313.8K,855,1.9K,11
,6.8M,1.9M,218K,850,279,12
,611.4K,1.1M,297.5K,2.6K,2.3K,12
,1.3M,3.7M,154.2K,592,249,12
,3.9M,2.5M,278.1K,924,719,12
,4.1M,2.1M,228.5K,521,342,11
,154K,543.8K,103.8K,7.1K,1.3K,12
,672.8K,6.1M,395.6K,2.1K,2.3K,12
,2.8M,1.8M,144.2K,1.3K,720,12
,6M,1.9M,250K,4.7K,3.9K,12
,5.9M,1.7M,198.7K,1.8K,4K,11
,2M,2.8M,238.4K,774,218,11
,5.1M,1.8M,106.5K,3K,2K,12
,4.8M,2.2M,145.6K,2.1K,2.6K,11
,156.3K,2.8M,196.8K,936,596,12
,7.6M,2.1M,251.5K,502,330,12
,6.6M,2.3M,215.8K,928,1.4K,12
,6.5M,1.6M,219.3K,753,2.7K,11
,219.1K,3.5M,414.7K,2.5K,4.4K,11
,3.3M,2.5M,172.6K,1.7K,1.1K,12
,12.9M,3M,210.9K,473,318,12
,3.7M,2M,166K,1.2K,722,12
,3.7M,2M,189.9K,1.2K,1.1K,11
,28.4M,2.3M,259K,441,1.5K,11
,15.8M,5.6M,393.3K,666,449,12
,7.6M,3.3M,285.6K,1.5K,346,12
,7.6M,3.3M,285.6K,1.4K,346,11
,7.1M,1.7M,244.6K,1.1K,935,11
,2.3M,1.9M,129.2K,1.1K,769,12
,2.2M,1.8M,208.7K,717,428,11
,5M,1.4M,316.3K,1.5K,483,12
,3.3M,3.2M,129.6K,1.1K,713,12
,4M,5.6M,534.5K,1.2K,1.2K,11
,5.1M,2.8M,252.7K,721,654,11
,96.7K,1M,116.2K,837,2.8K,12
,15.1M,2.7M,344.4K,1.3K,436,12
,14.4M,2.8M,303K,1.4K,488,11
,7.7M,4M,216.2K,597,599,11
,1.6M,1.1M,117.6K,1.4K,1.1K,11
,4.2M,2.2M,246.7K,5.9K,5.8K,11
,6.3M,3.6M,271K,837,206,12
,6M,2.6M,249.3K,473,111,11
,3.9M,4.4M,578.7K,2.9K,955,11
,3.5M,1.6M,111.5K,3.3K,1.3K,12
,3.4M,3M,208.5K,4.9K,1.9K,11
,10M,4.7M,440.5K,9.3K,2.4K,12
,9.5M,1.2M,100.9K,2.6K,705,11
,4.3M,2.2M,168.1K,1.6K,3.3K,12
,515.4K,877.4K,215.9K,1.1K,1.1K,11
,7.2M,1.3M,191.8K,1.5K,3.6K,11
,3M,1.5M,144.4K,760,1.2K,12
,19.8M,2.6M,257.4K,1.2K,1.3K,12
,19.6M,1.7M,173.3K,1.1K,1K,11
,9.9M,2.6M,507.3K,1.3K,1.1K,11
,11.3M,5.2M,902.5K,3,4.1K,11
,4M,1.4M,197.3K,2K,440,11
,1.8M,5.5M,327.9K,643,200,12
,1.7M,6.2M,352.4K,1.2K,313,11
,2.1M,4.1M,337.1K,1.6K,1.2K,12
,2.1M,4.1M,337.1K,1.6K,1.2K,11
,4.8M,2.2M,701K,9.2K,9.3K,12
,4.6M,4.1M,1.2M,31.6K,23.7K,11
,35.1M,7.9M,725.8K,2.1K,1.8K,12
,34.6M,5.5M,707.8K,1.8K,1.7K,11
,9.4M,2.8M,398.3K,890,438,11
,7.5M,1.7M,228.9K,503,728,11
,16.6M,1.3M,182.4K,1.8K,281,11
,1.2M,756.4K,117.2K,1.7K,3.5K,12
,24.9M,12.8M,547.3K,4.7K,11.2K,12
,24.3M,16.9M,952.9K,5.6K,27.3K,11
,4.1M,938.3K,202K,1.9K,467,12
,675.6K,2.3M,451.3K,1.9K,7.7K,12
,13M,5.2M,659.2K,1.1K,515,11
,15.5M,13M,1.6M,4.2K,1.3K,12
,14.4M,7.9M,1.1M,2.5K,878,11
,1.1M,2.5M,278.7K,341,617,12
,14.6M,3.6M,446.5K,1.5K,1.5K,11
,10.6M,1.6M,351.8K,1.4K,1.2K,11
,1.2M,2.4M,194.1K,448,464,12
,4M,6.8M,772.1K,2.4K,1.2K,11
,9.4M,1.7M,298.7K,866,588,11
,1.6M,2M,166.2K,2.8K,5K,11
,5.4M,1.9M,188.1K,907,288,11
,2M,1.5M,158.9K,1.7K,515,11
,2.6M,2.7M,143.6K,1.3K,1.9K,11
,1.4M,2.6M,258.7K,286,689,11
,13.8M,2.1M,182K,1.3K,550,12
,2.7M,1.7M,260.4K,1K,738,11
,5.4M,3.3M,467.4K,450,547,11
,149.1K,606.2K,79.5K,2.1K,6.1K,12
,168.1K,1.6M,140.2K,643,2.4K,11
,5.9M,1.4M,229.1K,923,622,12
,5.8M,1.9M,308.8K,1.3K,1.4K,11
,19.5M,16.5M,668.4K,2.1K,2.7K,12
,13.9M,7.3M,147.1K,278,484,11
,1.3M,1M,147.5K,1.1K,4.8K,12
,2.4M,2.3M,387.7K,990,481,11
,5.6M,1.8M,240.6K,1.3K,1.1K,12
,3M,1.8M,177.8K,3.9K,4.1K,11
,1.8M,2.2M,331.4K,468,164,12
,514K,628.3K,86.5K,3.4K,3.2K,11
,2.9M,2.1M,165.6K,763,3.3K,12
,2.4M,2.3M,149.9K,865,2.2K,11
,2.2M,976.4K,182.9K,1.5K,10K,11
,5M,3M,359.4K,1.4K,484,11
,3.3M,1.9M,108.2K,733,1.2K,12
,14.7M,3.1M,190.4K,10K,11.6K,12
,14.7M,3.1M,190.4K,10K,11.6K,11
,3.3M,1.6M,226.7K,1.2K,8.8K,12
,3.2M,923.1K,119.9K,638,3.5K,12
,3.1M,1.1M,142.7K,562,1.8K,11
,787.3K,2.8M,131.4K,1.3K,1.1K,11
,1.6M,2M,167.5K,720,424,11
,3.4M,2.1M,345.1K,1.3K,643,11
,9.2M,2.3M,572.5K,3.3K,1.9K,12
,600.3K,4.6M,389K,2.2K,729,12
