Tiktoker name,Subscribers,Views,Likes,Comments,Shares avg.,Month
cassholland,2.6M,1.7M,172.5K,726,475,11
cassmakeshome,3.6M,806.6K,243.4K,3.2K,2.3K,11
cedricgrolet,121.7K,1.7M,119.4K,4.9K,6.3K,11
cedriklorenzen,13.3M,5.2M,448K,1.9K,1.5K,12
celinaspookyboo,12.8M,2.8M,258.1K,1.3K,1K,11
cellat36,15M,5.3M,653.5K,1.3K,528,12
cesarpantoja.n,13.9M,6M,862.8K,1K,464,11
ceyda.kasabali,9.8M,5.8M,351.5K,1.9K,1K,12
championsleague,9.5M,1.7M,182.1K,667,836,11
chang._.a,8.1M,3.4M,266.6K,474,722,12
charlidamelio,42.8M,2.1M,209.8K,797,322,12
charlieputh,1.3M,1.8M,367.7K,2.7K,956,12
charlyokei,1M,1.4M,323.6K,2.3K,542,11
chedurena,17M,1.7M,393.9K,841,920,11
cheekykiddo,8.2M,3.4M,273.4K,739,658,11
chengkhen2k2,4.2M,1.8M,186K,999,5.6K,12
chilinypikinoficial,4M,1.5M,152.4K,794,4.1K,11
chinamcclain,4.4M,2.8M,384K,1.7K,1.1K,12
chinguamiga,4.4M,3.6M,771.7K,1K,399,11
chourouk.model_official,5.3M,531.9K,68.5K,1.8K,10.1K,12
chris,5.1M,1.7M,186.3K,30.9K,49.3K,11
christian,1.5M,3M,230.4K,1.1K,897,12
christinaroki,1.5M,2.2M,163.5K,837,697,11
christophersturniolo,1.7M,1.3M,196K,1.6K,760,12
chuponcitotv,14.9M,4.5M,326.4K,1.8K,558,12
cierraramirezofficial,704K,879.5K,274.4K,718,2K,11
cirowhites1.0,8.1M,2.8M,550.5K,1.9K,3K,12
claragnds,8M,5.4M,814.2K,2.2K,3.5K,11
clawmachine_mokkai,873.2K,1.3M,212.1K,1.6K,739,12
cocielo,1.2M,2.1M,68.7K,587,2.3K,11
codenamejesse,1.2M,2.1M,68.7K,587,2.3K,11
coldcutz20,1.3M,4.4M,186K,1.3K,1.2K,11
com.yamato0515,1.3M,1.3M,129.1K,833,1.9K,12
connorprice__,3.3M,3.1M,244.6K,2.2K,3.5K,12
cost_n_mayor,3.1M,4.3M,332.1K,2.5K,2.1K,11
costatitch,6.4M,4.3M,550K,1.3K,641,11
creatingwonders,1.1M,1.6M,65K,7.6K,4.8K,12
crisdevilgamer7,2.7M,3.1M,421K,2.6K,894,12
cristorata7,11M,2.6M,199.1K,646,221,12
cx_.q,2.6M,2.6M,183.6K,623,256,12
cx_.q,234K,1.6M,178.9K,5.2K,2.4K,12
dafnnejm,10.1M,1.7M,246.7K,1.2K,793,12
dagelantv,20.7M,1.5M,162K,436,1.2K,11
dandiaff,5.8M,1.6M,306.6K,947,1.7K,11
daniel.labelle,1.1M,1.4M,124.4K,1.2K,4.3K,11
danielarodrice,38.8M,10.9M,1.1M,4K,2.5K,12
danielatreco,36.3M,3.8M,434.6K,2.9K,905,11
danivallem,4.7M,1.3M,219.7K,3.5K,942,11
dannero,9.2M,6.4M,1.3M,6.3K,39.5K,11
dannygrubs,27.5M,2.3M,237.2K,1.4K,635,12
dansurtiktok,26.8M,2.1M,254.2K,1.9K,947,11
dante_caro,278.4K,713.6K,122.2K,728,9.3K,11
danythegaggio,243.6K,1.7M,201.4K,1.2K,2.9K,11
datdo0803,1M,5.5M,813.5K,3K,3.4K,12
datvilla94,786.4K,2.5M,372.4K,2.3K,1.4K,12
davidcstt_,92.6M,6M,482.2K,4.8K,1.5K,12
daviddobrik,5.2M,3.6M,271K,1K,460,12
davidgetial,866.4K,1.4M,240.3K,502,1.1K,11
davidvoinson,32.9M,1.4M,206K,2.5K,318,12
davidyrodriguez,32.5M,1.4M,199.6K,1.8K,470,11
deborahyowa,10.1M,1.5M,133.9K,1.9K,637,11
decorsnippets,121.5K,2.9M,269.3K,906,1.3K,12
dedaaladim,3.5M,2.4M,83.6K,762,1.8K,11
dede.omat,12.1M,2.3M,137.8K,1.9K,1.2K,12
dennismik,11.7M,1.8M,108K,1.4K,806,11
dermdoctor,2.1M,4.1M,570.6K,595,583,11
deshawnharrisss,4.3M,2.1M,496.5K,7K,3.5K,11
devincaherly,897.4K,1.5M,206.7K,1.1K,1.3K,11
devincaherly,9.2M,10.3M,909.6K,2.5K,1.3K,12
dgdxofficial,738.8K,4.1M,766.6K,2.7K,3.6K,11
dictionarei,2.3M,1.1M,163.9K,1.4K,2.4K,12
diegodiego_,2.1M,1M,275.7K,1.7K,3K,11
